ts_utc,flow_key_pid,flow_src_ip,flow_dst_ip,flow_proto,pid,proc_name,label,score,total_pkts,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51
2026-01-23T16:34:34.063566Z,6132,172.19.0.1,20.189.173.7,6,6132,svchost,Normal Traffic,0.999990,17,443,9951030.969619751,2,212,212.0,0.0,106.0,106.0,4096.0,0.0,649.4,1125.1787887561097,1000.197871998013,1.7083657011922257,621939.4356012344,1358994.2633579762,5045027.017593384,0.0,5045027.017593384,5045027.017593384,0.0,5045027.017593384,5045027.017593384,1846791.0289764404,131913.6449268886,221050.5529576734,826864.0041351318,0.0,80,600,0.20098420014026186,1.507381501051964,0.0,4096.0,585.4705882352941,1071.9407971825497,1149057.07266436,0,0,0,585.4705882352941,212,0,0,13,39,1846791.0289764404,1846791.0289764404,1846791.0289764404,4052119.9703216553,5045027.017593384,3059212.9230499268
2026-01-23T16:34:37.067311Z,6748,192.168.0.48,178.141.176.205,17,6748,qbittorrent,Normal Traffic,0.999996,2,5060,134218.93119812012,2,379,275.0,104.0,189.5,85.5,0.0,0.0,0.0,0.0,2823.744732705101,14.90102761321953,134218.93119812012,0.0,134218.93119812012,134218.93119812012,134218.93119812012,134218.93119812012,0.0,134218.93119812012,134218.93119812012,0.0,0.0,0.0,0.0,0.0,56,0,14.90102761321953,0.0,104.0,275.0,189.5,85.5,7310.25,0,0,0,189.5,379,0,0,0,0,134218.93119812012,134218.93119812012,134218.93119812012,0.0,0,0
2026-01-23T16:34:42.071676Z,6748,192.168.0.48,115.54.116.111,17,6748,qbittorrent,Normal Traffic,0.999999,1,8000,1.0,1,104,104.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0,104000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,1000000.0,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,104.0,104,0,0,0,0,0.0,0,0,0.0,0,0
2026-01-23T16:34:47.076011Z,6748,192.168.0.48,14.1.106.227,17,6748,qbittorrent,Normal Traffic,0.999996,2,63538,357059.0019226074,2,379,275.0,104.0,189.5,85.5,0.0,0.0,0.0,0.0,1061.4492225633574,5.6013151586456855,357059.0019226074,0.0,357059.0019226074,357059.0019226074,357059.0019226074,357059.0019226074,0.0,357059.0019226074,357059.0019226074,0.0,0.0,0.0,0.0,0.0,56,0,5.6013151586456855,0.0,104.0,275.0,189.5,85.5,7310.25,0,0,0,189.5,379,0,0,0,0,357059.0019226074,357059.0019226074,357059.0019226074,0.0,0,0
2026-01-23T16:34:52.079428Z,25188,192.168.0.48,149.154.167.51,6,25188,Telegram,Normal Traffic,0.999992,3,443,100640.05851745605,3,3703,3237.0,137.0,1234.3333333333333,1418.2668609570235,0.0,0.0,0.0,0.0,36794.49370906033,29.80920365303294,50320.02925872803,36738.03806304932,87058.06732177734,13581.991195678711,100640.05851745605,50320.02925872803,36738.03806304932,87058.06732177734,13581.991195678711,0.0,0.0,0.0,0.0,0.0,120,0,29.80920365303294,0.0,137.0,3237.0,1234.3333333333333,1418.2668609570235,2011480.888888889,0,0,0,1234.3333333333333,3703,0,0,3,97,100640.05851745605,100640.05851745605,100640.05851745605,0.0,0,0
2026-01-23T16:34:56.083964Z,20224,172.19.0.1,185.165.171.2,6,20224,SchildiChatAlpha,Normal Traffic,0.999998,9,8443,363980.0548553467,9,1513,421.0,35.0,168.11111111111111,115.23448986445416,0.0,0.0,0.0,0.0,4156.821176922175,24.72662960495676,45497.506856918335,30469.575890865668,101759.9105834961,0.0,363980.0548553467,45497.506856918335,30469.575890865668,101759.9105834961,0.0,0.0,0.0,0.0,0.0,0.0,360,0,24.72662960495676,0.0,35.0,421.0,168.11111111111111,115.23448986445416,13278.987654320988,0,0,0,168.11111111111111,1513,0,0,8,1,363980.0548553467,363980.0548553467,363980.0548553467,0.0,0,0
2026-01-23T16:34:57.086604Z,6748,192.168.0.48,66.167.166.157,17,6748,qbittorrent,Normal Traffic,0.999985,2,34304,4933032.035827637,2,379,275.0,104.0,189.5,85.5,0.0,0.0,0.0,0.0,76.82901656575467,0.4054301665739033,4933032.035827637,0.0,4933032.035827637,4933032.035827637,4933032.035827637,4933032.035827637,0.0,4933032.035827637,4933032.035827637,0.0,0.0,0.0,0.0,0.0,56,0,0.4054301665739033,0.0,104.0,275.0,189.5,85.5,7310.25,0,0,0,189.5,379,0,0,0,0,0.0,0,0,4933032.035827637,4933032.035827637,4933032.035827637
2026-01-23T16:34:58.088977Z,6748,192.168.0.48,36.255.5.106,17,6748,qbittorrent,Normal Traffic,0.999997,4,52943,837615.0131225586,4,781,299.0,103.0,195.25,92.14221345290116,0.0,0.0,0.0,0.0,932.409266505978,4.775463592860323,279205.0043741862,243083.50802064728,592670.9175109863,247.955322265625,837615.0131225586,279205.0043741862,243083.50802064728,592670.9175109863,247.955322265625,0.0,0.0,0.0,0.0,0.0,112,0,4.775463592860323,0.0,103.0,299.0,195.25,92.14221345290116,8490.1875,0,0,0,195.25,781,0,0,0,0,837615.0131225586,837615.0131225586,837615.0131225586,0.0,0,0
2026-01-23T16:35:00.093261Z,22292,172.19.0.1,52.42.126.84,6,22292,brave,Normal Traffic,0.999997,6,443,328050.1365661621,6,1024,455.0,35.0,170.66666666666666,167.03758725375423,0.0,0.0,0.0,0.0,3121.474085390227,18.28988721908336,65610.02731323242,71928.47894459414,205600.97694396973,0.0,328050.1365661621,65610.02731323242,71928.47894459414,205600.97694396973,0.0,0.0,0.0,0.0,0.0,0.0,240,0,18.28988721908336,0.0,35.0,455.0,170.66666666666666,167.03758725375423,27901.555555555555,0,0,0,170.66666666666666,1024,0,0,3,72,328050.1365661621,328050.1365661621,328050.1365661621,0.0,0,0
2026-01-23T16:35:01.095792Z,22292,172.19.0.1,9.9.9.9,6,22292,brave,Normal Traffic,0.999999,2,443,2002201.0803222656,2,48,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,23.97361607270441,0.9989006696960171,2002201.0803222656,0.0,2002201.0803222656,2002201.0803222656,2002201.0803222656,2002201.0803222656,0.0,2002201.0803222656,2002201.0803222656,0.0,0.0,0.0,0.0,0.0,80,0,0.9989006696960171,0.0,24.0,24.0,24.0,0.0,0.0,0,0,0,24.0,48,0,0,0,0,0.0,0,0,2002201.0803222656,2002201.0803222656,2002201.0803222656
