timestamp,pid,proc_name,score,label,pkts
2026-01-23 14:08:59,22292,brave,0.999997,Normal Traffic,85
2026-01-23 14:08:59,22292,brave,0.999992,Normal Traffic,699
2026-01-23 14:09:01,16272,Hiddify,0.999997,Normal Traffic,15
2026-01-23 14:09:02,16272,Hiddify,0.999998,Normal Traffic,15
2026-01-23 14:09:02,16272,Hiddify,0.999967,Normal Traffic,7
2026-01-23 14:09:03,16272,Hiddify,0.999997,Normal Traffic,44
2026-01-23 14:09:05,11156,gamingservices,0.999995,Normal Traffic,10
2026-01-23 14:09:06,16272,Hiddify,0.999983,Normal Traffic,459
2026-01-23 14:09:06,16272,Hiddify,0.999999,Normal Traffic,73
2026-01-23 14:09:06,16272,Hiddify,0.999999,Normal Traffic,34
2026-01-23 14:09:06,12672,Code,0.999998,Normal Traffic,9
2026-01-23 14:09:06,16272,Hiddify,0.999999,Normal Traffic,16
2026-01-23 14:09:06,16272,Hiddify,0.999993,Normal Traffic,8
2026-01-23 14:09:07,22292,brave,0.999998,Normal Traffic,191
2026-01-23 14:09:10,25188,Telegram,0.999987,Normal Traffic,3
2026-01-23 14:09:12,16272,Hiddify,0.999998,Normal Traffic,12
2026-01-23 14:09:13,10832,warp-svc,0.999999,Normal Traffic,2
2026-01-23 14:09:17,10668,svchost,0.516447,Normal Traffic,5
2026-01-23 14:09:18,11876,lgc_renderer_host,0.999997,Normal Traffic,11
2026-01-23 14:09:19,11212,LestaErrorMonitor,0.999998,Normal Traffic,30
2026-01-23 14:09:19,16272,Hiddify,0.999999,Normal Traffic,27
2026-01-23 14:09:19,26708,lgc,0.999999,Normal Traffic,27
2026-01-23 14:09:19,2400,svchost,1.000000,Normal Traffic,3
2026-01-23 14:09:19,26708,lgc,0.999997,Normal Traffic,10
2026-01-23 14:09:21,16272,Hiddify,0.999990,Normal Traffic,480
2026-01-23 14:09:21,26708,lgc,0.999997,Normal Traffic,29
2026-01-23 14:09:21,16272,Hiddify,0.999997,Normal Traffic,29
2026-01-23 14:09:21,10484,svchost,0.999991,Normal Traffic,2
2026-01-23 14:09:22,16272,Hiddify,0.999996,Normal Traffic,708
2026-01-23 14:09:22,25652,tanksblitz,0.999997,Normal Traffic,7
2026-01-23 14:09:26,24976,GameBar,0.999997,Normal Traffic,10
2026-01-23 14:09:26,24976,GameBar,0.999996,Normal Traffic,11
2026-01-23 14:09:28,22292,brave,0.999999,Normal Traffic,9
2026-01-23 14:09:28,12672,Code,0.999982,Normal Traffic,2
2026-01-23 14:09:30,19488,msedge,0.999996,Normal Traffic,24
2026-01-23 14:09:32,14332,msedge,0.999999,Normal Traffic,14
2026-01-23 14:09:32,25652,tanksblitz,0.999997,Normal Traffic,8
2026-01-23 14:09:32,16272,Hiddify,0.999993,Normal Traffic,8
2026-01-23 14:09:32,25652,tanksblitz,0.999999,Normal Traffic,8
2026-01-23 14:09:32,16272,Hiddify,0.999999,Normal Traffic,8
2026-01-23 14:09:32,25652,tanksblitz,0.999998,Normal Traffic,8
2026-01-23 14:09:32,16272,Hiddify,0.999998,Normal Traffic,8
2026-01-23 14:09:33,19488,msedge,0.999985,Normal Traffic,29
2026-01-23 14:09:33,25652,tanksblitz,0.999999,Normal Traffic,10
2026-01-23 14:09:33,16272,Hiddify,0.999999,Normal Traffic,10
2026-01-23 14:09:33,16272,Hiddify,0.999994,Normal Traffic,19
2026-01-23 14:09:33,25652,tanksblitz,0.999992,Normal Traffic,17
2026-01-23 14:09:35,22292,brave,0.999998,Normal Traffic,41
2026-01-23 14:09:35,19488,msedge,0.999995,Normal Traffic,18
2026-01-23 14:09:38,19488,msedge,0.999997,Normal Traffic,5
2026-01-23 14:09:40,19488,msedge,0.999998,Normal Traffic,8
2026-01-23 14:09:40,26708,lgc,0.999998,Normal Traffic,8
2026-01-23 14:09:40,16272,Hiddify,0.999992,Normal Traffic,6
2026-01-23 14:09:40,16272,Hiddify,0.999972,Normal Traffic,2
2026-01-23 14:09:42,16272,Hiddify,0.999997,Normal Traffic,29
2026-01-23 14:09:42,25652,tanksblitz,0.999997,Normal Traffic,19
2026-01-23 14:09:43,25652,tanksblitz,0.999999,Normal Traffic,6
2026-01-23 14:09:43,16272,Hiddify,0.999998,Normal Traffic,6
2026-01-23 14:09:48,20220,WINWORD,0.999997,Normal Traffic,8
2026-01-23 14:09:54,25652,tanksblitz,1.000000,Normal Traffic,125
2026-01-23 14:09:55,25652,tanksblitz,0.999998,Normal Traffic,32
2026-01-23 14:09:55,16272,Hiddify,0.999998,Normal Traffic,31
2026-01-23 14:09:56,2400,svchost,0.999999,Normal Traffic,21
2026-01-23 14:09:56,12964,svchost,0.999999,Normal Traffic,78
2026-01-23 14:09:58,19488,msedge,0.999997,Normal Traffic,50
2026-01-23 14:09:58,22292,brave,0.999997,Normal Traffic,6
2026-01-23 14:09:59,25188,Telegram,0.999993,Normal Traffic,4
2026-01-23 14:10:00,19488,msedge,0.999996,Normal Traffic,5
